,Text,language,english
0,durgapuja durgapujainusa durgamaa saree sareelover sareedraping sareelovers sareeindia sareestyle sareeblouse makeup makeuplover makeupaddict makeupjunkie beautymakeup beautyjunkie beautyaddict beautyproducts beautycommunity beautyblog beautygram lakmecosmetics lakmeabsolute lakmeproducts ,af,
1,Lakme  To  Natural  CC Cream  Color Bronze Its With Pure Aloe Vera  SPF  PA Real Price  From Nykaa   Hello Cuties Must Buy This Lakme  to  CC Cream   Its Give Full Flawless Coverage  Fragrance Is Very Nice   For Daily Office Work Its Very Affordable  Nourish Your Skin With SPF  PA   lakmeindia nykaabeauty mynykaa  Watch Full Video On Our YouTube Channel Link In Bio   Hello Folks Welcome To elite_makeup_junkie   Elite_MakeUp_Junkie Lakme LakmeBeautyLooks LakmeTo LakmeAbsolute LakmeFashionWeek LakmeMousse LakmeCCCream ILakme LakmeSalon LakmeProducts LakmeFashion LakmeMakeup LakmeCosmetics LakmeBeauty GetItWithLumi LakmeIndia  India PageOfAds Page_Of_Ads Nykaa Myntra Amazon FlipKart LetsPurplle IndianBeautyBlogger Beauty BeautyBlogger Influencer MakeUp ,en,Lakme  To  Natural  CC Cream  Color Bronze Its With Pure Aloe Vera  SPF  PA Real Price  From Nykaa   Hello Cuties Must Buy This Lakme  to  CC Cream   Its Give Full Flawless Coverage  Fragrance Is Very Nice   For Daily Office Work Its Very Affordable  Nourish Your Skin With SPF  PA   lakmeindia nykaabeauty mynykaa  Watch Full Video On Our YouTube Channel Link In Bio   Hello Folks Welcome To elite_makeup_junkie   Elite_MakeUp_Junkie Lakme LakmeBeautyLooks LakmeTo LakmeAbsolute LakmeFashionWeek LakmeMousse LakmeCCCream ILakme LakmeSalon LakmeProducts LakmeFashion LakmeMakeup LakmeCosmetics LakmeBeauty GetItWithLumi LakmeIndia  India PageOfAds Page_Of_Ads Nykaa Myntra Amazon FlipKart LetsPurplle IndianBeautyBlogger Beauty BeautyBlogger Influencer MakeUp 
2,Get your hands on your favourite product of Lakme at half of its actual amount only at The Beauty Shop or call us now Grab this once in a lifetime offer of  off now  Lakme TheBeautyShop LakmeGel LakmeCosmetics LakmeProducts Offer Discount WideRangeOfProducts LakmeIndia SkinCare Makeup MakeupProducts ,en,Get your hands on your favourite product of Lakme at half of its actual amount only at The Beauty Shop or call us now Grab this once in a lifetime offer of  off now  Lakme TheBeautyShop LakmeGel LakmeCosmetics LakmeProducts Offer Discount WideRangeOfProducts LakmeIndia SkinCare Makeup MakeupProducts 
3,niveaindia Nivea moisturizer  swissbeautycosmetics Swiss beauty compact powder concealer  nybae  nybae contour  blueheavencosmetics  Blue heaven primer  glamcosmetic  glam highlighter  glamcosmetic  glam New Lipstick pink shade   blueheavencosmetics  blue heaven eyebrows definer  lakmeindia  Lakme to bb cream  good_vibesin  good vibes tea tree toner  swissbeautycosmeticsblueheavenglamcosmeticslakmelipsticklakmecosmeticsniveagoodvibesskincareproductseyemakeuptutorial weddingmakeup ,en,niveaindia Nivea moisturizer  swissbeautycosmetics Swiss beauty compact powder concealer  nybae  nybae contour  blueheavencosmetics  Blue heaven primer  glamcosmetic  glam highlighter  glamcosmetic  glam New Lipstick pink shade   blueheavencosmetics  blue heaven eyebrows definer  lakmeindia  Lakme to bb cream  good_vibesin  good vibes tea tree toner  swissbeautycosmeticsblueheavenglamcosmeticslakmelipsticklakmecosmeticsniveagoodvibesskincareproductseyemakeuptutorial weddingmakeup 
4,Natural Makeup       jahnavi_     teamperfectframes     makeupbynishta    makeupbyzainabfaiz hair  southindianweddings southindianbride explorepage explore exploremore trending transition tuesday tuesdaytransformation muasupport mualife subtlemakeup lipstick curlshair southindianhairstyle indianbride wedmegoodsouth wedmegood wedding maccosmetics paccosmetics makeuprevolution hudabeauty lakmecosmetics maybelline nykaabeautybook colorbar trysugar rudecosmetics wakeupandmakeup ,en,Natural Makeup       jahnavi_     teamperfectframes     makeupbynishta    makeupbyzainabfaiz hair  southindianweddings southindianbride explorepage explore exploremore trending transition tuesday tuesdaytransformation muasupport mualife subtlemakeup lipstick curlshair southindianhairstyle indianbride wedmegoodsouth wedmegood wedding maccosmetics paccosmetics makeuprevolution hudabeauty lakmecosmetics maybelline nykaabeautybook colorbar trysugar rudecosmetics wakeupandmakeup 
5,    haircutvideo hairinsta lakmesalon lakmecolour lakmecosmetics lakmesilver lakmepearl lakmecollage chromalakme glosslakme oyster oystercolor toner tonercollagen tonercolor blondie brownie red bluelakmesilver ,en,    haircutvideo hairinsta lakmesalon lakmecolour lakmecosmetics lakmesilver lakmepearl lakmecollage chromalakme glosslakme oyster oystercolor toner tonercollagen tonercolor blondie brownie red bluelakmesilver 
6,Client Feedback  product  Sequences Pillow      Thankyou  so much  For choosing us  We are glad to serve you  Keep shopping   Keep supporting  _beingcreative western_indian_fashion wedding_lehenga_jewellery   sequencepillow magicpillow makeuplovers pillow trendinggifts customisedgifts casualgifts birthdaygiftsforher lakmecombo hudabeautycombo lakmecosmetics giftyshop magicmug pillowthoughts maccombo girlyfashion heartpillow pillowfordecoration pillowforroom hangingpillow heartpillows trendingfashion hangcousins maccosmetics fashion sequencepearl roadfashion chocolatelovers cushion _beingcreative ,en,Client Feedback  product  Sequences Pillow      Thankyou  so much  For choosing us  We are glad to serve you  Keep shopping   Keep supporting  _beingcreative western_indian_fashion wedding_lehenga_jewellery   sequencepillow magicpillow makeuplovers pillow trendinggifts customisedgifts casualgifts birthdaygiftsforher lakmecombo hudabeautycombo lakmecosmetics giftyshop magicmug pillowthoughts maccombo girlyfashion heartpillow pillowfordecoration pillowforroom hangingpillow heartpillows trendingfashion hangcousins maccosmetics fashion sequencepearl roadfashion chocolatelovers cushion _beingcreative 
7,  FOR MORE FOLLOW vr_beautybliss_   BROW wetnwildindia   EYE lakmeindia absolute infinity eye shadow palette  lakmeindia eyeconic kajal  regal green lakmeindia  to  complexion  cc cream   greeneye greenmakeup makeup lakmecccream makeupoftheday fridaymakeup shadoweye eyeshadow lakme lakmekajal lakmecosmetics wetnwild vrbeautybliss ,en,  FOR MORE FOLLOW vr_beautybliss_   BROW wetnwildindia   EYE lakmeindia absolute infinity eye shadow palette  lakmeindia eyeconic kajal  regal green lakmeindia  to  complexion  cc cream   greeneye greenmakeup makeup lakmecccream makeupoftheday fridaymakeup shadoweye eyeshadow lakme lakmekajal lakmecosmetics wetnwild vrbeautybliss 
8,Glam festive makeup I tried this look with mebelline fit me as a foundation  Benifits of the foundation it is matte foundation have a very smooth application it is having a high blendibility matches well with my skintone cost effective  Demerits dry very quicklyapply moisturizer before the application  I used mebelline gel eyeliner  Benifits have a bright black pigment have a stying power of  to  hours less smudge action easy appication  Lipstick I use lakme lipstick in crushed caramel shade  Benifits matte finish comfortable in lips  unique colour shade staying power to  hours lakmecosmetics lakmelipstick mebellineeyelinerfestivemakeupsareelove ,en,Glam festive makeup I tried this look with mebelline fit me as a foundation  Benifits of the foundation it is matte foundation have a very smooth application it is having a high blendibility matches well with my skintone cost effective  Demerits dry very quicklyapply moisturizer before the application  I used mebelline gel eyeliner  Benifits have a bright black pigment have a stying power of  to  hours less smudge action easy appication  Lipstick I use lakme lipstick in crushed caramel shade  Benifits matte finish comfortable in lips  unique colour shade staying power to  hours lakmecosmetics lakmelipstick mebellineeyelinerfestivemakeupsareelove 
9,When my bro riz_roxx gave me only mins to dress up  riz_roxx   blackoutfit blackoutfit sundayvibes sunday sundayouting cafe blackdress ootd simplicity lakmecosmetics maybelline missclairecosmetics nyxcosmetics sephora picoftheday lookoftheday instafit instagood instadaily instamood instagram ,en,When my bro riz_roxx gave me only mins to dress up  riz_roxx   blackoutfit blackoutfit sundayvibes sunday sundayouting cafe blackdress ootd simplicity lakmecosmetics maybelline missclairecosmetics nyxcosmetics sephora picoftheday lookoftheday instafit instagood instadaily instamood instagram 
