,Text,language,english
0,Whos going to indulge in some self care tonight   The LOrealMen purifying tissue face mask is the ultimate care for oily skin Enriched in purifying Oak Charcoal and hydrating glycerin it moisturizes and mattifies skin All that in only  minutes   LorealMenExpert MenExpert PureCharcoal FightOilySkin RemoveBlackheads ,en,Whos going to indulge in some self care tonight   The LOrealMen purifying tissue face mask is the ultimate care for oily skin Enriched in purifying Oak Charcoal and hydrating glycerin it moisturizes and mattifies skin All that in only  minutes   LorealMenExpert MenExpert PureCharcoal FightOilySkin RemoveBlackheads 
1,Tired of looking tired Its tiring A little tip brought to you by jonathancohens to keep your skin healthy and glowing   Fatigué davoir lair fatigué  Cest fatiguant jonathancohens vous donne ses conseils pour une peau saine et resplendissante   jonathancohens canalplus laflamme canalplusseries LaFlamme HydraEnergetic MenExpert MenSkincare ,en,Tired of looking tired Its tiring A little tip brought to you by jonathancohens to keep your skin healthy and glowing   Fatigué davoir lair fatigué  Cest fatiguant jonathancohens vous donne ses conseils pour une peau saine et resplendissante   jonathancohens canalplus laflamme canalplusseries LaFlamme HydraEnergetic MenExpert MenSkincare 
2,Fight signs of fatigue on a daily basis thanks to HydraEnergetic Show your skin some love    Combattez les signes de fatigue au quotidien grâce à HydraEnergetic Montrez à votre peau que vous laimez    jonathancohens canalplus laflamme canalplusseries  LaFlamme HydraEnergetic MenExpert MenSkincare ,fr,
3,They dont know each other but they share something the antifatigue HydraEnergetic    Ils ne se connaissent pas mais ils ont un point commun  le soin antifatigue HydraEnergetic   jonathancohens canalplus laflamme canalplusseries  LaFlamme HydraEnergetic MenExpert MenSkincare ,en,They dont know each other but they share something the antifatigue HydraEnergetic    Ils ne se connaissent pas mais ils ont un point commun  le soin antifatigue HydraEnergetic   jonathancohens canalplus laflamme canalplusseries  LaFlamme HydraEnergetic MenExpert MenSkincare 
4,Get that energy boost  Try our LOrealMen Healthy Look Express Care if youre looking for that perfect natural glow Its just  pumps away  LorealMenExpert LorealMen MenExpert HealthyLook ExpressCare keephydrated ,en,Get that energy boost  Try our LOrealMen Healthy Look Express Care if youre looking for that perfect natural glow Its just  pumps away  LorealMenExpert LorealMen MenExpert HealthyLook ExpressCare keephydrated 
5,Dont let your energy fade LOrealMen Healthy Look Express Care is here to reenergize your skin  LorealMenExpert MenExpert HealthyLook ExpressCare KeepHydrated ,en,Dont let your energy fade LOrealMen Healthy Look Express Care is here to reenergize your skin  LorealMenExpert MenExpert HealthyLook ExpressCare KeepHydrated 
6,Essentials to recharge  Looking forward to good times and good laughs with all our friends  Using the right products to energize your skin Were here to help you with the skin part  Reenergize your skin and look with the LOrealMan Hydra Energetic line  LorealMenExpert MenExpert HydraEnergetic Moisturizer PutThatEnergyBack ,en,Essentials to recharge  Looking forward to good times and good laughs with all our friends  Using the right products to energize your skin Were here to help you with the skin part  Reenergize your skin and look with the LOrealMan Hydra Energetic line  LorealMenExpert MenExpert HydraEnergetic Moisturizer PutThatEnergyBack 
7,Whos in need of some sunshine  Weve got you covered Discover our Healthy Look Express Care an undetectable tinted gel powered with natural origin Vitamin CG that will leave skin feeling relaxed and recharged for h straight You can even try our new filter to get a digital glow    LorealMenExpert LorealMen MenExpert HealthyLook ExpressCare KeepHydrated ,en,Whos in need of some sunshine  Weve got you covered Discover our Healthy Look Express Care an undetectable tinted gel powered with natural origin Vitamin CG that will leave skin feeling relaxed and recharged for h straight You can even try our new filter to get a digital glow    LorealMenExpert LorealMen MenExpert HealthyLook ExpressCare KeepHydrated 
8,Time to wake your skin up  Our LOrealMen Hydra Energetic line is here to boost your skin pump it with vitamin CG to leave you feeling refreshed and ready throughout your day  LorealMenExpert LorealMen MenExpert HydraEnergetic Moisturizer PutThatEnergyBack ,en,Time to wake your skin up  Our LOrealMen Hydra Energetic line is here to boost your skin pump it with vitamin CG to leave you feeling refreshed and ready throughout your day  LorealMenExpert LorealMen MenExpert HydraEnergetic Moisturizer PutThatEnergyBack 
9,Name a more iconic duo  Our icecool eye rollon and Healthy Look Express care make the perfect pair to fight dark circles and bring you that summer glow any time of the year  LorealMenExpert LorealMen MenExpert HydraEnergetic Moisturizer PutThatEnergyBack ExpressCare KeepHydrated ,en,Name a more iconic duo  Our icecool eye rollon and Healthy Look Express care make the perfect pair to fight dark circles and bring you that summer glow any time of the year  LorealMenExpert LorealMen MenExpert HydraEnergetic Moisturizer PutThatEnergyBack ExpressCare KeepHydrated 
10,Adopt jonathancohens skincare routine   Apply the HydraEnergetic antifatigue hydrating cream every morning   Drink a glass of orange juice  Dont reverse the steps   Adoptez la skincare routine de jonathancohens    Appliquez la crème hydratante HydraEnergetic antifatigue tous les matins   Buvez un verre de jus dorange  Niversez pas les étapes   jonathancohens canalplus laflamme canalplusseries  LaFlamme HydraEnergetic MenExpert MenSkincare ,fr,
11,Your best everyday partner In jonathancohens  words   Votre meilleur partenaire au quotidien Et cest jonathancohens qui le dit   jonathancohens canalplus laflamme canalplusseries  LaFlamme HydraEnergetic MenExpert LorealMenExpert MenSkincare ,fr,
