,Text,language,english
0,Bold Crimson  a classic matte red that suits all ,en,Bold Crimson  a classic matte red that suits all 
1,Maybelline Creamy Mattes in Lively Violet a muted cool pink thats universally flattering especially on morenas ,en,Maybelline Creamy Mattes in Lively Violet a muted cool pink thats universally flattering especially on morenas 
2,Barely Nude a light peachy nude ,en,Barely Nude a light peachy nude 
3,Say goodbye to visible eye bags with Instant Age Rewind  Undeniably the best eye bag concealer  ,en,Say goodbye to visible eye bags with Instant Age Rewind  Undeniably the best eye bag concealer  
4,Who wouldnt want these lashes  Shop Hypercurl now  ,en,Who wouldnt want these lashes  Shop Hypercurl now  
5,This is not a drill The USA bestseller mascara with allaround star reviews is coming in  DAYS  Isnt it TOTALLY TEMPTING Get yours first on October  exclusive on Shopee TotalTemptationPH  ,en,This is not a drill The USA bestseller mascara with allaround star reviews is coming in  DAYS  Isnt it TOTALLY TEMPTING Get yours first on October  exclusive on Shopee TotalTemptationPH  
6, DAYS TO GO before you can get your very own Total Temptation mascara  With its CREAMY WHIPPED FORMULA youre sure to have the SOFTEST LASHES ever Totally awesome right TotalTemptationPH ,en, DAYS TO GO before you can get your very own Total Temptation mascara  With its CREAMY WHIPPED FORMULA youre sure to have the SOFTEST LASHES ever Totally awesome right TotalTemptationPH 
7,One more reason to LOOOOVE Total Temptation it smells like coconut and is sure to give you TOTALLY SOFT lashes  DAYS TO GO LADIES Are you ready Get yours exclusively on Shopee on October  TotalTemptationPH  ,en,One more reason to LOOOOVE Total Temptation it smells like coconut and is sure to give you TOTALLY SOFT lashes  DAYS TO GO LADIES Are you ready Get yours exclusively on Shopee on October  TotalTemptationPH  
8,Check out the length of those lashes   DAYS TO GO GIRLS Get ready to buy your Total Temptation mascara on October   am exclusive on Shopee Limited stocks only  TotalTemptationPH ,en,Check out the length of those lashes   DAYS TO GO GIRLS Get ready to buy your Total Temptation mascara on October   am exclusive on Shopee Limited stocks only  TotalTemptationPH 
9,Marvel at these gorgeous shades from our Superstay Matte Ink collection thats perfect for any skin tone  MaybellinePH ,en,Marvel at these gorgeous shades from our Superstay Matte Ink collection thats perfect for any skin tone  MaybellinePH 
10,SuperSlay All Day with our  Hour Full Coverage Foundation  MaybellinePH ,en,SuperSlay All Day with our  Hour Full Coverage Foundation  MaybellinePH 
11,Go unnude with attitude  Shop our Superstay Matte Ink in the shade Poet  MaybellinePH ,en,Go unnude with attitude  Shop our Superstay Matte Ink in the shade Poet  MaybellinePH 
12,A new take on neutral lipstick Unexpected Unconventional Up to  hours of liquid matte intensity  MaybellinePH ,en,A new take on neutral lipstick Unexpected Unconventional Up to  hours of liquid matte intensity  MaybellinePH 
13,Last few hours until we announce  lucky winners Whos excited  MaybellinePH ,en,Last few hours until we announce  lucky winners Whos excited  MaybellinePH 
14,Intensely perfect perfectly intense Up to  HR saturated liquid matte  MaybellinePH ,en,Intensely perfect perfectly intense Up to  HR saturated liquid matte  MaybellinePH 
15,michelledyy showing us how to keep our brows on fleek MaybellinePH ,en,michelledyy showing us how to keep our brows on fleek MaybellinePH 
16,Get this glow with our very own Master Chrome Highlighter  MaybellinePH ,en,Get this glow with our very own Master Chrome Highlighter  MaybellinePH 
17,Hey Maybelline Girls Its Tip Thursdays Get that H full coverage makeup with our Superstay Foundation  MaybellinePH ,en,Hey Maybelline Girls Its Tip Thursdays Get that H full coverage makeup with our Superstay Foundation  MaybellinePH 
18,repost Heres Michaela wearing our Fit Me Liquid foundation We are obsessed with her matte  flawless skin  MaybellinePH ,en,repost Heres Michaela wearing our Fit Me Liquid foundation We are obsessed with her matte  flawless skin  MaybellinePH 
19,Be a brow boss with our Tattoo Brow Gel Tint that could last up to  days MaybellinePH ,en,Be a brow boss with our Tattoo Brow Gel Tint that could last up to  days MaybellinePH 
20,Get cityproof lips with Superstay Matte Inks NEW City Edition shades  Lasts up to  hours no retouch needed MaybellinePH ,en,Get cityproof lips with Superstay Matte Inks NEW City Edition shades  Lasts up to  hours no retouch needed MaybellinePH 
21,Superslay like Gigi with Superstay Matte Inks NEW City Edition Shade in Ambitious No retouch no transfer no fuss  MaybellinePH ,en,Superslay like Gigi with Superstay Matte Inks NEW City Edition Shade in Ambitious No retouch no transfer no fuss  MaybellinePH 
22,If the foundation fits wear it You can never go wrong with a lightweight luscious and liberating foundation  MaybellinePH ,en,If the foundation fits wear it You can never go wrong with a lightweight luscious and liberating foundation  MaybellinePH 
23,All smiles with leximendi as she struts through city streets in our NEW Superstay Matte Ink City Edition in Delicate  MaybellinePH ,en,All smiles with leximendi as she struts through city streets in our NEW Superstay Matte Ink City Edition in Delicate  MaybellinePH 
24,Define your goals Define your brows And blend all the way through Finish the week strong with our Brow Define and Blend  MaybellinePH ,en,Define your goals Define your brows And blend all the way through Finish the week strong with our Brow Define and Blend  MaybellinePH 
25,Essentials to start the week One MUST have Clear Smooth All in One Powder Foundation to keep you slaying Whats your makeup kit must have  MaybellinePH ,en,Essentials to start the week One MUST have Clear Smooth All in One Powder Foundation to keep you slaying Whats your makeup kit must have  MaybellinePH 
26,All you need is a bit of liner for a stronger look Strike a power pose with our NEW Line Tattoo Crayon for ONLY P  MaybellinePH ,en,All you need is a bit of liner for a stronger look Strike a power pose with our NEW Line Tattoo Crayon for ONLY P  MaybellinePH 
27,Valentines day coming up soon  Heres a look inspo that will make anyone fall in love Powder up and matte it out with the Maybelline Powder Mattes  MaybellinePH ,en,Valentines day coming up soon  Heres a look inspo that will make anyone fall in love Powder up and matte it out with the Maybelline Powder Mattes  MaybellinePH 
28,Keep it clean Keep it simple Have the Clear Smooth All In One Powder Foundation your makeup bag to complete your look for ONLY P this payday weekend  MaybellinePH ,en,Keep it clean Keep it simple Have the Clear Smooth All In One Powder Foundation your makeup bag to complete your look for ONLY P this payday weekend  MaybellinePH 
29,Last day for our Clear Smooth All In One Powder Foundation to be P OFF tomorrow Time to hoard these must have essentials  MaybellinePH ,en,Last day for our Clear Smooth All In One Powder Foundation to be P OFF tomorrow Time to hoard these must have essentials  MaybellinePH 
30,Blending defined strokes has never been so easy for your ultimate kilay goals BrowDefineAndBlend Get it for P off this payday weekend  MaybellinePH ,en,Blending defined strokes has never been so easy for your ultimate kilay goals BrowDefineAndBlend Get it for P off this payday weekend  MaybellinePH 
31,Precise strokes smooth application with a unique angled tip for the PERFECT feathered brow BrowDefineandBlend MaybellinePH ,en,Precise strokes smooth application with a unique angled tip for the PERFECT feathered brow BrowDefineandBlend MaybellinePH 
32,mikhaellaleon looks absolutely amazing with her naturally fluffed brows using the Brow Define and Blend  MaybellinePH ,en,mikhaellaleon looks absolutely amazing with her naturally fluffed brows using the Brow Define and Blend  MaybellinePH 
33,Kiss your pores goodbye with the Baby Skin Pore Eraser Lightweight smooth matte and moisturizing for an instantly flawless complexion  MaybellinePH ,en,Kiss your pores goodbye with the Baby Skin Pore Eraser Lightweight smooth matte and moisturizing for an instantly flawless complexion  MaybellinePH 
